# Rechtschreibwörterbuch
# Quelle: WordNet
# lingo-Format: WordClass
# Zeilen: 37.319 
aachen=aachen #s
aaium=aaium #s
aaland=aaland #s
aalborg=aalborg #s
aalge=aalge #s
aalst=aalst #s
aalto=aalto #s
aar=aar #s
aare=aare #s
aarhus=aarhus #s
aaron=aaron #s
aarp=aarp #s
aave=aave #s
ababa=ababa #s
abaca=abaca #s
abactinal=abactinal #a
abadan=abadan #s
abampere=abampere #s
abasic=abasic #a
abator=abator #s
abattis=abattis #s
abaxial=abaxial #a
abaxially=abaxially #a
abaya=abaya #s
abb=abb #s
abbacy=abbacy #s
abbe=abbe #s
abbott=abbott #s
abc=abc #s
abcs=abcs #s
abdallah=abdallah #s
abdel=abdel #s
abdias=abdias #s
abdicable=abdicable #a
abdominis=abdominis #s
abdominocentesis=abdominocentesis #s
abdominovesical=abdominovesical #a
abducens=abducens #s
abecedarius=abecedarius #s
abed=abed #a
abel=abel #s
abelard=abelard #s
abelia=abelia #s
abelmoschus=abelmoschus #s
abelmosk=abelmosk #s
abenaki=abenaki #s
aberdare=aberdare #s
aberdeen=aberdeen #s
aberdonian=aberdonian #a
aberrancy=aberrancy #s
abetalipoproteinemia=abetalipoproteinemia #s
abettal=abettal #s
abfarad=abfarad #s
abhenry=abhenry #s
abidjan=abidjan #s
abience=abience #s
abient=abient #a
abies=abies #s
abietis=abietis #s
abila=abila #s
abilene=abilene #s
abiogenesis=abiogenesis #s
abiogenetic=abiogenetic #a
abiogenist=abiogenist #s
abiotrophy=abiotrophy #s
abkhas=abkhas #s
abkhasian=abkhasian #s
abkhaz=abkhaz #a
abkhaz=abkhaz #s
abkhazia=abkhazia #s
abkhazian=abkhazian #s
ablative=ablative #a
ablative=ablative #s
ableism=ableism #s
ablepharia=ablepharia #s
ablism=ablism #s
abls=abls #s
ablutionary=ablutionary #a
abm=abm #s
abnaki=abnaki #a
abnaki=abnaki #s
abney=abney #s
abocclusion=abocclusion #s
abohm=abohm #s
abolitionary=abolitionary #a
abomasal=abomasal #a
abomasum=abomasum #s
abominator=abominator #s
aborad=aborad #a
aboral=aboral #a
aborticide=aborticide #s
abortifacient=abortifacient #a
abortifacient=abortifacient #s
abortus=abortus #s
aboulia=aboulia #s
abrachia=abrachia #s
abradant=abradant #s
abraham=abraham #s
abram=abram #s
abramis=abramis #s
abramsiana=abramsiana #s
abranchiate=abranchiate #a
abril=abril #s
abrocoma=abrocoma #s
abrocome=abrocome #s
abronia=abronia #s
abrotanum=abrotanum #s
abruptio=abruptio #s
